 Run 445270	 Raw lumi 1.40902	Cor lumi 1.36233	 QEDC-corr stat-err 0.182574	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445271	 Raw lumi 1.10279	Cor lumi 1.06625	 QEDC-corr stat-err 0.235702	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445272	 Raw lumi 1.48594	Cor lumi 1.43671	 QEDC-corr stat-err 0.223607	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445273	 Raw lumi 1.5797	Cor lumi 1.52735	 QEDC-corr stat-err 0.223607	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445274	 Raw lumi 22.1936	Cor lumi 20.273	 QEDC-corr stat-err 0.0606339	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445275	 Raw lumi 7.08461	Cor lumi 4.72872	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445276	 Raw lumi 1.02695	Cor lumi 0.992921	 QEDC-corr stat-err 0.242536	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445277	 Raw lumi 4.2859	Cor lumi 4.14389	 QEDC-corr stat-err 0.129099	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445278	 Raw lumi 15.9075	Cor lumi 14.4075	 QEDC-corr stat-err 0.0681994	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445279	 Raw lumi 15.444	Cor lumi 14.9323	 QEDC-corr stat-err 0.0680414	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445280	 Raw lumi 16.5179	Cor lumi 15.9705	 QEDC-corr stat-err 0.0678844	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445283	 Raw lumi 12.4598	Cor lumi 12.047	 QEDC-corr stat-err 1.61284	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445284	 Raw lumi 2.62375	Cor lumi 1.66253	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445285	 Raw lumi 6.40211	Cor lumi 5.32221	 QEDC-corr stat-err 0.114708	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445293	 Raw lumi 0.764879	Cor lumi 0.739534	 QEDC-corr stat-err 0.353553	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445294	 Raw lumi 1.08791	Cor lumi 1.05186	 QEDC-corr stat-err 0.288675	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445301	 Raw lumi 1.60949	Cor lumi 1.17374	 QEDC-corr stat-err 0.267261	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445304	 Raw lumi 4.19675	Cor lumi 4.05769	 QEDC-corr stat-err 0.117041	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445306	 Raw lumi 3.0237	Cor lumi 2.25646	 QEDC-corr stat-err 0.196116	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445475	 Raw lumi 9.04593	Cor lumi 8.66337	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445477	 Raw lumi 1.11161	Cor lumi 1.0646	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445479	 Raw lumi 0.619363	Cor lumi 0.59317	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445481	 Raw lumi 8.26565	Cor lumi 7.9161	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445482	 Raw lumi 2.9295	Cor lumi 2.80561	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445483	 Raw lumi 15.6438	Cor lumi 14.9822	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445484	 Raw lumi 8.9027	Cor lumi 6.71076	 QEDC-corr stat-err 0.0894427	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445488	 Raw lumi 9.7962	Cor lumi 5.23529	 QEDC-corr stat-err 3.50646	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445489	 Raw lumi 1.1064	Cor lumi 1.05962	 QEDC-corr stat-err 0.218218	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445493	 Raw lumi 4.37525	Cor lumi 0.229625	 QEDC-corr stat-err 0.111803	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445494	 Raw lumi 5.66892	Cor lumi 5.42918	 QEDC-corr stat-err 0.117041	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445495	 Raw lumi 25.0503	Cor lumi 19.7401	 QEDC-corr stat-err 0.0537603	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445496	 Raw lumi 12.3452	Cor lumi 11.8232	 QEDC-corr stat-err 1.92794	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445499	 Raw lumi 2.23097	Cor lumi 2.13663	 QEDC-corr stat-err 0.171499	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445500	 Raw lumi 20.3563	Cor lumi 16.9201	 QEDC-corr stat-err 1.24886	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445504	 Raw lumi 1.3421	Cor lumi 1.28534	 QEDC-corr stat-err 0.213201	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445505	 Raw lumi 6.92691	Cor lumi 5.36483	 QEDC-corr stat-err 0.103695	 Av pol 0	 Pol err 0	 Pol run fraction 0
